key	verdict	label	target	orig	repaired_to	decisive_original	record_form
call.offset	CLAUSE-FALSE	isolated-byte-diff	A18	EXP-0035	EXP-0179-g17p-call	EXP-0035-function-abi	raw-textlog
call_indirect._instruction	CLAUSE-TRUE	isolated-byte-diff	A18	EXP-0035-function-abi		None	None
device_load.base_slot	CLAUSE-FALSE	hardware-run	M4	EXP-0083,EXP-0010	EXP-0141-m4-emit-mem	EXP-0083-m4-base-slot-census	raw-jsonl-sweep
device_load.idx_off	CLAUSE-FALSE	hardware-run	M4	EXP-0082,EXP-0100	EXP-0141-m4-emit-mem	EXP-0082 and EXP-0100	raw-jsonl-sweep
falu_srcmod12b.ctrl	CLAUSE-FALSE	hardware-run	M4	EXP-0119,EXP-0089	EXP-0138-m4-emit-falu	EXP-0119 and EXP-0089	raw-jsonl-sweep
falu_srcmod12b.opsel	CLAUSE-FALSE	hardware-run	M4	EXP-0119	EXP-0138-m4-emit-falu	EXP-0119-m4-lifecycle-field-map	work-pilot+prose
frag_color_pack.src_present_mask	CLAUSE-FALSE	hardware-run	A18	EXP-M4-14	EXP-0168-g17p-dst-resweep	EXP-M4-14-a18-splice	root-evidence-json
frag_color_store.rt_index	CLAUSE-FALSE	isolated-byte-diff	A18	EXP-0029	EXP-0163-g17p-inert-liveness	EXP-0029-fragment-isa	raw-textlog
frag_color_store.src	CLAUSE-FALSE	isolated-byte-diff	A18	EXP-0029	EXP-0163-g17p-inert-liveness	EXP-0029-fragment-isa	raw-textlog
fspecial_est.subop	CLAUSE-FALSE	hardware-run	G17P	EXP-0171	EXP-0138-m4-emit-falu,EXP-0154-g17p-emit-alu,EXP-0161-g17p-carry-fspecial	EXP-0171-g17p-ilogic-srca	raw-jsonl-sweep
half_alu.dst	CLAUSE-FALSE	hardware-run	G17P	EXP-0180,EXP-0183	EXP-0138-m4-emit-falu	EXP-0180-g17p-halfalu-rerecord	raw-jsonl-sweep
iadd2.srcA	CLAUSE-FALSE	hardware-run	G17P	EXP-0171	EXP-0139-m4-emit-ialu,EXP-0146-m4-emit-int-misc,EXP-0154-g17p-emit-alu	EXP-0171-g17p-ilogic-srca	raw-jsonl-sweep
ibfe.srcA	CLAUSE-FALSE	hardware-run	G17P	EXP-0171	EXP-0139-m4-emit-ialu,EXP-0154-g17p-emit-alu	EXP-0171-g17p-ilogic-srca	raw-jsonl-sweep
