atomic_mem	addr_desc_hi	hardware-run	G17P	EXP-0168	100.000% agreement over 36 shared values, 15 moved vs 0 disagreements (infx), ladder and falsifier passed in every run
atomic_mem	amode	untested	M4	EXP-0141	db.json documents 0x11 vs 0x01 at byte+1 as the form selector and byte+2 as `amode`; byte+2 has no observable role here. | WITHHELD 2026-08-30 on DEF-0190-1, the TENTH cannot-fail check found in this corpus. `audit.py`'s INERT buckets have **no detection-power conjunct**: `moved` is derived from the hash of `observed`, so an arm whose observable NEVER VARIES returns `moved = 0` BY CONSTRUCTION, and `classify()` reads that as 'the field is inert'. `INERT-MULTI` is not withheld, so such a field keeps emitter-grade status. Measured across the corpus: **8 arms record no observation at all, and 128 arms (80,138 field records) record exactly ONE distinct `observed` payload across every case.** 21 INERT-* fields rest entirely on such arms; this is one of the 5 that were emitter-grade. It is the eighth finding inverted -- there, a promotion gate could not fail; here, an INERTNESS gate cannot fail. The measurement is not refuted: the field may well be inert. But an arm that cannot vary its observable cannot establish inertness either, and that is the same error this corpus has now made ten different ways. REMEDY, needing no hardware and already IN the corpus: the `_detect`, `__ladder_L_*` and `_live_control` records -- discarded by the same underscore filter -- consumed as a GATE on INERT verdicts rather than as measurements.
atomic_mem	amode_hi	hardware-run	M4	EXP-0141	Was `tokenization-only`. The two carriers accept DIFFERENT value sets, so the byte's meaning is form-dependent; not root-caused.
atomic_mem	base_slot	untested	M4	EXP-0141	db.json calls it 'a base-register-table slot, NOT the Metal buffer index'; with one bound target the slot is unobservable. Tested with ONE atomic target buffer only. | WITHHELD 2026-08-30 on DEF-0190-1, the TENTH cannot-fail check found in this corpus. `audit.py`'s INERT buckets have **no detection-power conjunct**: `moved` is derived from the hash of `observed`, so an arm whose observable NEVER VARIES returns `moved = 0` BY CONSTRUCTION, and `classify()` reads that as 'the field is inert'. `INERT-MULTI` is not withheld, so such a field keeps emitter-grade status. Measured across the corpus: **8 arms record no observation at all, and 128 arms (80,138 field records) record exactly ONE distinct `observed` payload across every case.** 21 INERT-* fields rest entirely on such arms; this is one of the 5 that were emitter-grade. It is the eighth finding inverted -- there, a promotion gate could not fail; here, an INERTNESS gate cannot fail. The measurement is not refuted: the field may well be inert. But an arm that cannot vary its observable cannot establish inertness either, and that is the same error this corpus has now made ten different ways. REMEDY, needing no hardware and already IN the corpus: the `_detect`, `__ladder_L_*` and `_live_control` records -- discarded by the same underscore filter -- consumed as a GATE on INERT verdicts rather than as measurements.
atomic_mem	idx_off	hardware-run	M4	EXP-0141	Was `tokenization-only`.
atomic_mem	index_reg	hardware-run	M4	EXP-0141	FIRST-ORDER db_defects RESULT: db.json says 'the actual RMW operand register is implicit (supplied by the preceding op / amode)' and DOC-02 ranks it a MISSING field. It is not implicit; see db_defects.atomic_operand_register. OPERAND-REGISTER SPLIT (EXP-0141, HW): the RMW operand register IS encoded in the instruction. operand_register_index = (byte+5 >> 7) | ((byte+6 & 0x3F) << 1), relative to the register the compiler's own encoding selects.
atomic_mem	oper_reg_hi	hardware-run	M4	EXP-0141	Same db_defect: modelled `tokenization-only`, 'framing only, no value semantics'. OPERAND-REGISTER SPLIT (EXP-0141, HW): proven at all four constructible indices -- 0 -> a[0]=7, 1 -> a[1]=1007, 2 -> a[2]=2007, 3 -> a[3]=3007 -- each with the redirected register's later reader zeroed (the same register-release contract EXP-0086/0089/0099 document for the ALU families). RESIDUAL UNKNOWN: with byte+5 = 0x80, byte+6 values 0x30 and 0x31 restore the BASELINE operand instead of selecting index 97/99, and they are the only two addendum cases whose acceptance disagreed between run21 and run22.
atomic_mem	oper_reg_lo	hardware-run	M4	EXP-0141	FIRST-ORDER db_defects RESULT: db.json says 'the actual RMW operand register is implicit (supplied by the preceding op / amode)' and DOC-02 ranks it a MISSING field. It is not implicit; see db_defects.atomic_operand_register. OPERAND-REGISTER SPLIT (EXP-0141, HW): the RMW operand register IS encoded in the instruction. operand_register_index = (byte+5 >> 7) | ((byte+6 & 0x3F) << 1), relative to the register the compiler's own encoding selects.
atomic_mem	ret_desc	hardware-run	M4	EXP-0141	Was `corpus-correlation`.
atomic_mem	ret_flag	hardware-run	M4	EXP-0141	Was `corpus-correlation` (byte+7 bit0 = discard/no-writeback).
atomic_mem	rsv10	hardware-run	M4	EXP-0141	Was `tokenization-only`; the name is wrong.
atomic_mem	rsv11	hardware-run	M4	EXP-0141	Was `tokenization-only`; the name is wrong.
atomic_mem	rsv3	untested	M4	EXP-0141	Was `tokenization-only`. | WITHHELD 2026-08-30 on DEF-0190-1, the TENTH cannot-fail check found in this corpus. `audit.py`'s INERT buckets have **no detection-power conjunct**: `moved` is derived from the hash of `observed`, so an arm whose observable NEVER VARIES returns `moved = 0` BY CONSTRUCTION, and `classify()` reads that as 'the field is inert'. `INERT-MULTI` is not withheld, so such a field keeps emitter-grade status. Measured across the corpus: **8 arms record no observation at all, and 128 arms (80,138 field records) record exactly ONE distinct `observed` payload across every case.** 21 INERT-* fields rest entirely on such arms; this is one of the 5 that were emitter-grade. It is the eighth finding inverted -- there, a promotion gate could not fail; here, an INERTNESS gate cannot fail. The measurement is not refuted: the field may well be inert. But an arm that cannot vary its observable cannot establish inertness either, and that is the same error this corpus has now made ten different ways. REMEDY, needing no hardware and already IN the corpus: the `_detect`, `__ladder_L_*` and `_live_control` records -- discarded by the same underscore filter -- consumed as a GATE on INERT verdicts rather than as measurements.
atomic_rmw	addr_desc_hi	untested	M4	EXP-0141	EXP-0164 withheld: 4 values dispatched, 1 carrier(s) tested, 0 observations moved. Never moved anything on the ONE carrier tried, so the probe could not have shown liveness either way (the EXP-0155 samp_extra failure mode). Needs a second, structurally different carrier.
atomic_rmw	amode	untested	M4	EXP-0141	EXP-0164 withheld: 256 values dispatched, 1 carrier(s) tested, 0 observations moved. Never moved anything on the ONE carrier tried, so the probe could not have shown liveness either way (the EXP-0155 samp_extra failure mode). Needs a second, structurally different carrier.
atomic_rmw	amode_hi	hardware-run	M4	EXP-0141	Was `tokenization-only`. The two carriers accept DIFFERENT value sets, so the byte's meaning is form-dependent; not root-caused. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22.
atomic_rmw	base_slot	untested	M4	EXP-0141	EXP-0164 withheld: 256 values dispatched, 1 carrier(s) tested, 0 observations moved. Never moved anything on the ONE carrier tried, so the probe could not have shown liveness either way (the EXP-0155 samp_extra failure mode). Needs a second, structurally different carrier.
atomic_rmw	idx_off	hardware-run	M4	EXP-0141	Was `tokenization-only`. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22.
atomic_rmw	index_reg	hardware-run	M4	EXP-0141	FIRST-ORDER db_defects RESULT: db.json says 'the actual RMW operand register is implicit (supplied by the preceding op / amode)' and DOC-02 ranks it a MISSING field. It is not implicit; see db_defects.atomic_operand_register. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22. OPERAND-REGISTER SPLIT (EXP-0141, HW): the RMW operand register IS encoded in the instruction. operand_register_index = (byte+5 >> 7) | ((byte+6 & 0x3F) << 1), relative to the register the compiler's own encoding selects.
atomic_rmw	op_msb	untested	G17P	EXP-0156	EXP-0164 withheld: 2 values dispatched, 1 carrier(s) tested, 0 observations moved. Never moved anything on the ONE carrier tried, so the probe could not have shown liveness either way (the EXP-0155 samp_extra failure mode). Needs a second, structurally different carrier.
atomic_rmw	oper_reg_hi	hardware-run	M4	EXP-0141	Same db_defect: modelled `tokenization-only`, 'framing only, no value semantics'. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22. OPERAND-REGISTER SPLIT (EXP-0141, HW): proven at all four constructible indices -- 0 -> a[0]=7, 1 -> a[1]=1007, 2 -> a[2]=2007, 3 -> a[3]=3007 -- each with the redirected register's later reader zeroed (the same register-release contract EXP-0086/0089/0099 document for the ALU families). RESIDUAL UNKNOWN: with byte+5 = 0x80, byte+6 values 0x30 and 0x31 restore the BASELINE operand instead of selecting index 97/99, and they are the only two addendum cases whose acceptance disagreed between run21 and run22.
atomic_rmw	oper_reg_lo	hardware-run	M4	EXP-0141	FIRST-ORDER db_defects RESULT: db.json says 'the actual RMW operand register is implicit (supplied by the preceding op / amode)' and DOC-02 ranks it a MISSING field. It is not implicit; see db_defects.atomic_operand_register. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22. OPERAND-REGISTER SPLIT (EXP-0141, HW): the RMW operand register IS encoded in the instruction. operand_register_index = (byte+5 >> 7) | ((byte+6 & 0x3F) << 1), relative to the register the compiler's own encoding selects.
atomic_rmw	per_lane	untested	G17P	EXP-0156	EXP-0164 withheld: 2 values dispatched, 1 carrier(s) tested, 0 observations moved. Never moved anything on the ONE carrier tried, so the probe could not have shown liveness either way (the EXP-0155 samp_extra failure mode). Needs a second, structurally different carrier.
atomic_rmw	ret_desc	hardware-run	M4	EXP-0141	Was `corpus-correlation`. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22.
atomic_rmw	ret_flag	hardware-run	M4	EXP-0141	Was `corpus-correlation` (byte+7 bit0 = discard/no-writeback). Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22.
atomic_rmw	rsv10	hardware-run	M4	EXP-0141	Was `tokenization-only`; the name is wrong. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22.
atomic_rmw	rsv11	hardware-run	M4	EXP-0141	Was `tokenization-only`; the name is wrong. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22.
atomic_rmw	rsv3	untested	M4	EXP-0141	EXP-0164 withheld: 256 values dispatched, 1 carrier(s) tested, 0 observations moved. Never moved anything on the ONE carrier tried, so the probe could not have shown liveness either way (the EXP-0155 samp_extra failure mode). Needs a second, structurally different carrier.
atomic_tg	amode	untested	M4	EXP-0141	EXP-0164 withheld: 256 values dispatched, 1 carrier(s) tested, 0 observations moved. Never moved anything on the ONE carrier tried, so the probe could not have shown liveness either way (the EXP-0155 samp_extra failure mode). Needs a second, structurally different carrier.
