REC {"w":"1","family":"ff","case":"texlod\/form05_baseline\/a_w1.0","observed":"1100","cb_errors":1,"observed_hex":"44898000","fault_class":"Discarded (victim of GPU error\/recovery) (00000005:kIOGPUCommandBufferCallbackErrorInnocentVictim)","sub":"a_w1.0","target":"G17P","u":"0.375","form_label":"texlod\/form05_baseline","array":false,"v":"0.625","outcome":"ok"}
REC {"w":"2","family":"ff","case":"texlod\/form05_baseline\/a_w2.0","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"a_w2.0","target":"G17P","u":"0.375","form_label":"texlod\/form05_baseline","array":false,"v":"0.625","outcome":"ok"}
REC {"w":"4","family":"ff","case":"texlod\/form05_baseline\/a_w4.0","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"a_w4.0","target":"G17P","u":"0.375","form_label":"texlod\/form05_baseline","array":false,"v":"0.625","outcome":"ok"}
REC {"w":"0.5","family":"ff","case":"texlod\/form05_baseline\/a_w0.5","observed":"201","cb_errors":0,"observed_hex":"43490000","fault_class":"","sub":"a_w0.5","target":"G17P","u":"0.375","form_label":"texlod\/form05_baseline","array":false,"v":"0.625","outcome":"ok"}
REC {"w":"0.25","family":"ff","case":"texlod\/form05_baseline\/a_w0.25","observed":"201","cb_errors":0,"observed_hex":"43490000","fault_class":"","sub":"a_w0.25","target":"G17P","u":"0.375","form_label":"texlod\/form05_baseline","array":false,"v":"0.625","outcome":"ok"}
REC {"w":"0","family":"ff","case":"texlod\/form05_baseline\/a_w0.0","observed":"201","cb_errors":0,"observed_hex":"43490000","fault_class":"","sub":"a_w0.0","target":"G17P","u":"0.375","form_label":"texlod\/form05_baseline","array":false,"v":"0.625","outcome":"ok"}
REC {"w":"-0","family":"ff","case":"texlod\/form05_baseline\/a_w-0.0","observed":"201","cb_errors":0,"observed_hex":"43490000","fault_class":"","sub":"a_w-0.0","target":"G17P","u":"0.375","form_label":"texlod\/form05_baseline","array":false,"v":"0.625","outcome":"ok"}
REC {"w":"-1","family":"ff","case":"texlod\/form05_baseline\/a_w-1.0","observed":"201","cb_errors":0,"observed_hex":"43490000","fault_class":"","sub":"a_w-1.0","target":"G17P","u":"0.375","form_label":"texlod\/form05_baseline","array":false,"v":"0.625","outcome":"ok"}
REC {"w":"inf","family":"ff","case":"texlod\/form05_baseline\/a_winf","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"a_winf","target":"G17P","u":"0.375","form_label":"texlod\/form05_baseline","array":false,"v":"0.625","outcome":"ok"}
REC {"w":"-inf","family":"ff","case":"texlod\/form05_baseline\/a_w-inf","observed":"201","cb_errors":0,"observed_hex":"43490000","fault_class":"","sub":"a_w-inf","target":"G17P","u":"0.375","form_label":"texlod\/form05_baseline","array":false,"v":"0.625","outcome":"ok"}
REC {"w":"nan","family":"ff","case":"texlod\/form05_baseline\/a_wnan","observed":"201","cb_errors":0,"observed_hex":"43490000","fault_class":"","sub":"a_wnan","target":"G17P","u":"0.375","form_label":"texlod\/form05_baseline","array":false,"v":"0.625","outcome":"ok"}
REC {"w":"1e-30","family":"ff","case":"texlod\/form05_baseline\/a_w1e-30","observed":"201","cb_errors":0,"observed_hex":"43490000","fault_class":"","sub":"a_w1e-30","target":"G17P","u":"0.375","form_label":"texlod\/form05_baseline","array":false,"v":"0.625","outcome":"ok"}
REC {"w":"1e+30","family":"ff","case":"texlod\/form05_baseline\/a_w1e30","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"a_w1e30","target":"G17P","u":"0.375","form_label":"texlod\/form05_baseline","array":false,"v":"0.625","outcome":"ok"}
REC {"w":"1","family":"ff","case":"texlod\/form05_baseline\/b_w1.0","observed":"1001","cb_errors":0,"observed_hex":"447a4000","fault_class":"","sub":"b_w1.0","target":"G17P","u":"0.75","form_label":"texlod\/form05_baseline","array":false,"v":"0.25","outcome":"ok"}
REC {"w":"2","family":"ff","case":"texlod\/form05_baseline\/b_w2.0","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"b_w2.0","target":"G17P","u":"0.75","form_label":"texlod\/form05_baseline","array":false,"v":"0.25","outcome":"ok"}
REC {"w":"4","family":"ff","case":"texlod\/form05_baseline\/b_w4.0","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"b_w4.0","target":"G17P","u":"0.75","form_label":"texlod\/form05_baseline","array":false,"v":"0.25","outcome":"ok"}
REC {"w":"0.5","family":"ff","case":"texlod\/form05_baseline\/b_w0.5","observed":"103","cb_errors":0,"observed_hex":"42ce0000","fault_class":"","sub":"b_w0.5","target":"G17P","u":"0.75","form_label":"texlod\/form05_baseline","array":false,"v":"0.25","outcome":"ok"}
REC {"w":"0.25","family":"ff","case":"texlod\/form05_baseline\/b_w0.25","observed":"103","cb_errors":0,"observed_hex":"42ce0000","fault_class":"","sub":"b_w0.25","target":"G17P","u":"0.75","form_label":"texlod\/form05_baseline","array":false,"v":"0.25","outcome":"ok"}
REC {"w":"0","family":"ff","case":"texlod\/form05_baseline\/b_w0.0","observed":"103","cb_errors":0,"observed_hex":"42ce0000","fault_class":"","sub":"b_w0.0","target":"G17P","u":"0.75","form_label":"texlod\/form05_baseline","array":false,"v":"0.25","outcome":"ok"}
REC {"w":"-0","family":"ff","case":"texlod\/form05_baseline\/b_w-0.0","observed":"103","cb_errors":0,"observed_hex":"42ce0000","fault_class":"","sub":"b_w-0.0","target":"G17P","u":"0.75","form_label":"texlod\/form05_baseline","array":false,"v":"0.25","outcome":"ok"}
REC {"w":"-1","family":"ff","case":"texlod\/form05_baseline\/b_w-1.0","observed":"103","cb_errors":0,"observed_hex":"42ce0000","fault_class":"","sub":"b_w-1.0","target":"G17P","u":"0.75","form_label":"texlod\/form05_baseline","array":false,"v":"0.25","outcome":"ok"}
REC {"w":"inf","family":"ff","case":"texlod\/form05_baseline\/b_winf","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"b_winf","target":"G17P","u":"0.75","form_label":"texlod\/form05_baseline","array":false,"v":"0.25","outcome":"ok"}
REC {"w":"-inf","family":"ff","case":"texlod\/form05_baseline\/b_w-inf","observed":"103","cb_errors":0,"observed_hex":"42ce0000","fault_class":"","sub":"b_w-inf","target":"G17P","u":"0.75","form_label":"texlod\/form05_baseline","array":false,"v":"0.25","outcome":"ok"}
REC {"w":"nan","family":"ff","case":"texlod\/form05_baseline\/b_wnan","observed":"103","cb_errors":0,"observed_hex":"42ce0000","fault_class":"","sub":"b_wnan","target":"G17P","u":"0.75","form_label":"texlod\/form05_baseline","array":false,"v":"0.25","outcome":"ok"}
REC {"w":"1e-30","family":"ff","case":"texlod\/form05_baseline\/b_w1e-30","observed":"103","cb_errors":0,"observed_hex":"42ce0000","fault_class":"","sub":"b_w1e-30","target":"G17P","u":"0.75","form_label":"texlod\/form05_baseline","array":false,"v":"0.25","outcome":"ok"}
REC {"w":"1e+30","family":"ff","case":"texlod\/form05_baseline\/b_w1e30","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"b_w1e30","target":"G17P","u":"0.75","form_label":"texlod\/form05_baseline","array":false,"v":"0.25","outcome":"ok"}
REC {"w":"1","family":"ff","case":"texlod\/form05_baseline\/c_w1.0","observed":"1101","cb_errors":0,"observed_hex":"4489a000","fault_class":"","sub":"c_w1.0","target":"G17P","u":"0.9","form_label":"texlod\/form05_baseline","array":false,"v":"0.9","outcome":"ok"}
REC {"w":"2","family":"ff","case":"texlod\/form05_baseline\/c_w2.0","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"c_w2.0","target":"G17P","u":"0.9","form_label":"texlod\/form05_baseline","array":false,"v":"0.9","outcome":"ok"}
REC {"w":"4","family":"ff","case":"texlod\/form05_baseline\/c_w4.0","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"c_w4.0","target":"G17P","u":"0.9","form_label":"texlod\/form05_baseline","array":false,"v":"0.9","outcome":"ok"}
REC {"w":"0.5","family":"ff","case":"texlod\/form05_baseline\/c_w0.5","observed":"303","cb_errors":0,"observed_hex":"43978000","fault_class":"","sub":"c_w0.5","target":"G17P","u":"0.9","form_label":"texlod\/form05_baseline","array":false,"v":"0.9","outcome":"ok"}
REC {"w":"0.25","family":"ff","case":"texlod\/form05_baseline\/c_w0.25","observed":"303","cb_errors":0,"observed_hex":"43978000","fault_class":"","sub":"c_w0.25","target":"G17P","u":"0.9","form_label":"texlod\/form05_baseline","array":false,"v":"0.9","outcome":"ok"}
REC {"w":"0","family":"ff","case":"texlod\/form05_baseline\/c_w0.0","observed":"303","cb_errors":0,"observed_hex":"43978000","fault_class":"","sub":"c_w0.0","target":"G17P","u":"0.9","form_label":"texlod\/form05_baseline","array":false,"v":"0.9","outcome":"ok"}
REC {"w":"-0","family":"ff","case":"texlod\/form05_baseline\/c_w-0.0","observed":"303","cb_errors":0,"observed_hex":"43978000","fault_class":"","sub":"c_w-0.0","target":"G17P","u":"0.9","form_label":"texlod\/form05_baseline","array":false,"v":"0.9","outcome":"ok"}
REC {"w":"-1","family":"ff","case":"texlod\/form05_baseline\/c_w-1.0","observed":"303","cb_errors":0,"observed_hex":"43978000","fault_class":"","sub":"c_w-1.0","target":"G17P","u":"0.9","form_label":"texlod\/form05_baseline","array":false,"v":"0.9","outcome":"ok"}
REC {"w":"inf","family":"ff","case":"texlod\/form05_baseline\/c_winf","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"c_winf","target":"G17P","u":"0.9","form_label":"texlod\/form05_baseline","array":false,"v":"0.9","outcome":"ok"}
REC {"w":"-inf","family":"ff","case":"texlod\/form05_baseline\/c_w-inf","observed":"303","cb_errors":0,"observed_hex":"43978000","fault_class":"","sub":"c_w-inf","target":"G17P","u":"0.9","form_label":"texlod\/form05_baseline","array":false,"v":"0.9","outcome":"ok"}
REC {"w":"nan","family":"ff","case":"texlod\/form05_baseline\/c_wnan","observed":"303","cb_errors":0,"observed_hex":"43978000","fault_class":"","sub":"c_wnan","target":"G17P","u":"0.9","form_label":"texlod\/form05_baseline","array":false,"v":"0.9","outcome":"ok"}
REC {"w":"1e-30","family":"ff","case":"texlod\/form05_baseline\/c_w1e-30","observed":"303","cb_errors":0,"observed_hex":"43978000","fault_class":"","sub":"c_w1e-30","target":"G17P","u":"0.9","form_label":"texlod\/form05_baseline","array":false,"v":"0.9","outcome":"ok"}
REC {"w":"1e+30","family":"ff","case":"texlod\/form05_baseline\/c_w1e30","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"c_w1e30","target":"G17P","u":"0.9","form_label":"texlod\/form05_baseline","array":false,"v":"0.9","outcome":"ok"}
REC {"w":"1","family":"ff","case":"texlod\/form05_baseline\/d_w1.0","observed":"1000","cb_errors":0,"observed_hex":"447a0000","fault_class":"","sub":"d_w1.0","target":"G17P","u":"0.125","form_label":"texlod\/form05_baseline","array":false,"v":"0.125","outcome":"ok"}
REC {"w":"2","family":"ff","case":"texlod\/form05_baseline\/d_w2.0","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"d_w2.0","target":"G17P","u":"0.125","form_label":"texlod\/form05_baseline","array":false,"v":"0.125","outcome":"ok"}
REC {"w":"4","family":"ff","case":"texlod\/form05_baseline\/d_w4.0","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"d_w4.0","target":"G17P","u":"0.125","form_label":"texlod\/form05_baseline","array":false,"v":"0.125","outcome":"ok"}
REC {"w":"0.5","family":"ff","case":"texlod\/form05_baseline\/d_w0.5","observed":"0","cb_errors":0,"observed_hex":"00000000","fault_class":"","sub":"d_w0.5","target":"G17P","u":"0.125","form_label":"texlod\/form05_baseline","array":false,"v":"0.125","outcome":"ok"}
REC {"w":"0.25","family":"ff","case":"texlod\/form05_baseline\/d_w0.25","observed":"0","cb_errors":0,"observed_hex":"00000000","fault_class":"","sub":"d_w0.25","target":"G17P","u":"0.125","form_label":"texlod\/form05_baseline","array":false,"v":"0.125","outcome":"ok"}
REC {"w":"0","family":"ff","case":"texlod\/form05_baseline\/d_w0.0","observed":"0","cb_errors":0,"observed_hex":"00000000","fault_class":"","sub":"d_w0.0","target":"G17P","u":"0.125","form_label":"texlod\/form05_baseline","array":false,"v":"0.125","outcome":"ok"}
REC {"w":"-0","family":"ff","case":"texlod\/form05_baseline\/d_w-0.0","observed":"0","cb_errors":0,"observed_hex":"00000000","fault_class":"","sub":"d_w-0.0","target":"G17P","u":"0.125","form_label":"texlod\/form05_baseline","array":false,"v":"0.125","outcome":"ok"}
REC {"w":"-1","family":"ff","case":"texlod\/form05_baseline\/d_w-1.0","observed":"0","cb_errors":0,"observed_hex":"00000000","fault_class":"","sub":"d_w-1.0","target":"G17P","u":"0.125","form_label":"texlod\/form05_baseline","array":false,"v":"0.125","outcome":"ok"}
REC {"w":"inf","family":"ff","case":"texlod\/form05_baseline\/d_winf","observed":"2000","cb_errors":0,"observed_hex":"44fa0000","fault_class":"","sub":"d_winf","target":"G17P","u":"0.125","form_label":"texlod\/form05_baseline","array":false,"v":"0.125","outcome":"ok"}
