atomic_mem	addr_desc_hi	hardware-run	G17P	EXP-0168	100.000% agreement over 36 shared values, 15 moved vs 0 disagreements (infx), ladder and falsifier passed in every run
atomic_mem	amode_hi	hardware-run	M4	EXP-0141	Was `tokenization-only`. The two carriers accept DIFFERENT value sets, so the byte's meaning is form-dependent; not root-caused.
atomic_mem	idx_off	hardware-run	M4	EXP-0141	Was `tokenization-only`.
atomic_mem	index_reg	hardware-run	M4	EXP-0141	FIRST-ORDER db_defects RESULT: db.json says 'the actual RMW operand register is implicit (supplied by the preceding op / amode)' and DOC-02 ranks it a MISSING field. It is not implicit; see db_defects.atomic_operand_register. OPERAND-REGISTER SPLIT (EXP-0141, HW): the RMW operand register IS encoded in the instruction. operand_register_index = (byte+5 >> 7) | ((byte+6 & 0x3F) << 1), relative to the register the compiler's own encoding selects.
atomic_mem	oper_reg_hi	hardware-run	M4	EXP-0141	Same db_defect: modelled `tokenization-only`, 'framing only, no value semantics'. OPERAND-REGISTER SPLIT (EXP-0141, HW): proven at all four constructible indices -- 0 -> a[0]=7, 1 -> a[1]=1007, 2 -> a[2]=2007, 3 -> a[3]=3007 -- each with the redirected register's later reader zeroed (the same register-release contract EXP-0086/0089/0099 document for the ALU families). RESIDUAL UNKNOWN: with byte+5 = 0x80, byte+6 values 0x30 and 0x31 restore the BASELINE operand instead of selecting index 97/99, and they are the only two addendum cases whose acceptance disagreed between run21 and run22.
atomic_mem	oper_reg_lo	hardware-run	M4	EXP-0141	FIRST-ORDER db_defects RESULT: db.json says 'the actual RMW operand register is implicit (supplied by the preceding op / amode)' and DOC-02 ranks it a MISSING field. It is not implicit; see db_defects.atomic_operand_register. OPERAND-REGISTER SPLIT (EXP-0141, HW): the RMW operand register IS encoded in the instruction. operand_register_index = (byte+5 >> 7) | ((byte+6 & 0x3F) << 1), relative to the register the compiler's own encoding selects.
atomic_mem	ret_desc	hardware-run	M4	EXP-0141	Was `corpus-correlation`.
atomic_mem	ret_flag	hardware-run	M4	EXP-0141	Was `corpus-correlation` (byte+7 bit0 = discard/no-writeback).
atomic_mem	rsv10	hardware-run	M4	EXP-0141	Was `tokenization-only`; the name is wrong.
atomic_mem	rsv11	hardware-run	M4	EXP-0141	Was `tokenization-only`; the name is wrong.
