row	label	geometry	liveness	semantics	target	reproducibility	frozen_gate	encodable	dispatched	distinct_actual_enc	records	legal_ok	silent	hard	fault_values	hang_values	collapsed	untested	valid_payloads	sem_checks	carriers	hazard
atomic_mem.amode	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	2056	256	768	0	0	0	0	0	2	2056	2	yes
atomic_mem.base_slot	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	1028	256	0	0	0	0	0	0	1	1028	2	no
atomic_mem.rsv3	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	1028	256	0	0	0	0	0	0	1	1028	2	no
atomic_rmw.addr_desc_hi	untested	ledger-verified via a composite/byte-position/legacy-named record	live in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	4	256	256	512	0	480	8	0	0	0	n/a	3	512	0	yes
atomic_rmw.amode	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	1024	256	448	0	0	0	0	0	2	1024	1	yes
atomic_rmw.base_slot	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	512	256	0	0	0	0	0	0	1	512	1	no
atomic_rmw.op_msb	untested	ledger-verified via a composite/byte-position/legacy-named record	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	2	256	256	1024	0	800	0	0	0	0	n/a	4	1024	0	yes
atomic_rmw.per_lane	untested	ledger-verified via a composite/byte-position/legacy-named record	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	2	256	256	1024	0	800	0	0	0	0	n/a	4	1024	0	yes
atomic_rmw.rsv3	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	512	256	0	0	0	0	0	0	1	512	1	no
atomic_tg.amode	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	514	256	0	0	0	0	0	0	1	514	1	no
atomic_tg.op_desc	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	256	256	256	898	4	492	10	4	2	0	0	4	898	1	yes
atomic_tg.ret_desc	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	514	256	0	0	0	0	0	0	1	514	1	no
atomic_tg.rsv10lo	untested	ledger-verified via a composite/byte-position/legacy-named record	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	64	256	256	1026	0	508	0	0	0	0	n/a	4	1026	0	yes
b_alu10_lo6.dst	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
b_alu10_lo6.ext8	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lo6.ext9	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lo6.modA	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lo6.modB	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lo6.opsel_hi	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
b_alu10_lo6.outmod	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lo6.srcA	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lo6.src_flag	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	2	0	0	0	0	0	0	0	0	0	2	0	0	0	no
b_alu10_lo6.src_reg	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	128	0	0	0	0	0	0	0	0	0	128	0	0	0	no
b_alu10_lo6.z6	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lo7.dst	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
b_alu10_lo7.ext8	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lo7.ext9	single-template-inference	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lo7.modA	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lo7.modB	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lo7.opsel_hi	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
b_alu10_lo7.outmod	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lo7.srcA	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lo7.src_flag	corpus-correlation	geometry-mapped	live in the tested envelope	unknown	G17P-direct	auditable	never-promoted	2	2	2	19	2	0	0	0	0	0	0	2	19	2	no
b_alu10_lo7.src_reg	corpus-correlation	ledger-verified	live in the tested envelope	unknown	G17P-direct	auditable	never-promoted	128	20	20	163	2	0	0	0	0	0	108	16	163	2	no
b_alu10_lo7.z6	single-template-inference	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_loe.dst	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
b_alu10_loe.ext8	single-template-inference	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_loe.ext9	single-template-inference	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_loe.modA	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	passed-own-gate	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_loe.modB	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	passed-own-gate	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_loe.opsel_hi	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
b_alu10_loe.outmod	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	passed-own-gate	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_loe.srcA	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	passed-own-gate	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_loe.src_flag	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	passed-own-gate	2	0	0	0	0	0	0	0	0	0	2	0	0	0	no
b_alu10_loe.src_reg	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	passed-own-gate	128	0	0	0	0	0	0	0	0	0	128	0	0	0	no
b_alu10_loe.z6	single-template-inference	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lof.dst	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
b_alu10_lof.ext8	single-template-inference	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lof.ext9	single-template-inference	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lof.modA	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	passed-own-gate	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lof.modB	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	passed-own-gate	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lof.opsel_hi	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
b_alu10_lof.outmod	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	passed-own-gate	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lof.srcA	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	passed-own-gate	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu10_lof.src_flag	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	passed-own-gate	2	0	0	0	0	0	0	0	0	0	2	0	0	0	no
b_alu10_lof.src_reg	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	passed-own-gate	128	0	0	0	0	0	0	0	0	0	128	0	0	0	no
b_alu10_lof.z6	single-template-inference	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
